Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Lana Del Rey,Summertime Sadness,"2,155","2,903,394",Chords,intermediate, F, 4th fret, E A D G B E
Toto,Africa,"1,650","2,900,614",Chords,intermediate, B,No Capo, E A D G B E
Alan Walker,Faded,"2,147","2,884,267",Chords,intermediate, Am, 6th fret, E A D G B E
Wham!,Last Christmas,"1,456","2,874,885",Chords,novice, D,No Capo, E A D G B E
Darius Rucker,Wagon Wheel,"6,627","2,869,429",Chords,novice, G, 2nd fret, E A D G B E
OneRepublic,Apologize,"2,635","2,846,214",Chords,novice, Cm, 3rd fret, E A D G B E
The Rolling Stones,Paint It Black,483,"2,844,045",Tab,intermediate,Db, 3rd fre, E A D G B E
Adele,All I Ask,"1,274","2,838,294",Chords,intermediate, C, 4th fret, E A D G B E
Justin Bieber,Sorry,"1,027","2,815,778",Chords,novice, F, 3rd fret,E A D G B E
Kodaline,High Hopes ,"2,233","2,815,932",Chords,intermediate, C, 4th fret, E A D G B E
Misc Praise Songs,Amazing Grace,"1,438","2,815,631",Chords,intermediate, D,No Capo, E A D G B E
Glen Hansard,Falling Slowly,"2,151","2,809,873",Chords,novice, C,No Capo, E A D G B E
Adele,Set Fire To The Rain ,"1,826","2,808,381",Chords,intermediate, Am, 5th fret, E A D G B E
Red Hot Chili Peppers,Under The Bridge,344,"2,802,922",Chords,intermediate, E,No Capo, E A D G B E
Jason Mraz,Im Yours ,246,"2,796,403",Tab,novic,Db,No Capo,E A D G B E
The Beatles,While My Guitar Gently Weeps,"4,057","2,796,444",Chords,intermediate, Am,No Capo, E A D G B E
John Denver,Leaving On A Jet Plane,"3,502","2,795,382",Chords,intermediate, G,No Capo, E A D G B E
Amy Winehouse,Back To Black,"3,218","2,791,255",Chords,intermediate, Dm,No Capo, E A D G B E
The Band Perry,If I Die Young,587,"2,785,705",Chords,intermediate, E, 2nd fret, E A D G B E
Jimi Hendrix,Little Wing ,520,"2,781,487",Tab,intermediate, Ebm,No Capo,E A D G B E
Coldplay,Clocks,"2,231","2,773,698",Chords,intermediate, Fm, 1st fret, E A D G B E
Adele,Rolling In The Deep ,544,"2,773,091",Chords,novice,Db, 3rd fre, E A D G B E
John Legend,All Of Me ,"3,920","2,773,072",Chords,novice, Fm, 1st fret, E A D G B E
Katy Perry,Roar,"1,268","2,770,457",Chords,novice,Db, 3rd fre, E A D G B E
Leonard Cohen,Hallelujah,"3,450","2,768,516",Chords,novice, C, 5th fret, E A D G B E
Adele,Set Fire To The Rain,282,"2,766,646",Chords,intermediate,Db,No Capo, E A D G B 
U2,One Acoustic,"1,966","2,747,450",Chords,intermediate,Db,No Capo, Eb Ab Db Gb Bb E
Bruno Mars,Talking To The Moon,"2,750","2,746,405",Chords,novice, C, 4th fret, E A D G B E
Misc Cartoons,Aladdin - A Whole New World,"1,039","2,736,954",Chords,intermediate, D,No Capo, E A D G B E
Milky Chance,Stolen Dance,"1,179","2,723,501",Chords,novice, G#m,No Capo, E A D G B E
Eagles,Hotel California Solo ,670,"2,719,908",Tab,intermediate, Bm,No Capo, E A D G B E
Ed Sheeran,Supermarket Flowers,"4,965","2,719,273",Chords,novice, C, 6th fret, E A D G B E
Neil Young,Heart Of Gold,"3,264","2,717,238",Chords,novice, Em,No Capo, E A D G B E
Taylor Swift,Our Song,"1,428","2,715,783",Chords,novice, Bm,No Capo, E A D G B E
The Beatles,Yesterday ,"7,483","2,715,611",Chords,novice, F, 5th fret, E A D G B E
Ed Sheeran,Kiss Me,"1,286","2,712,501",Chords,novice, D,No Capo, E A D G B E
Ed Sheeran,I See Fire,"1,992","2,701,258",Chords,novice,Db, 1st fre, E A D G B E
Shawn Mendes,Treat You Better ,"1,432","2,689,975",Chords,intermediate, Bbm, 1st fret, E A D G B E
Josh Groban,You Raise Me Up ,"1,081","2,690,043",Chords,intermediate, Eb, 1st fret, E A D G B E
Johnny Cash,Hurt ,"5,499","2,685,469",Chords,novice, Am,No Capo, E A D G B E
Michael Bublé,Home,"1,376","2,678,595",Chords,intermediate, G,No Capo, E A D G B E
Johnny Cash,Hurt,651,"2,667,067",Tab,intermediate, Am,No Capo, E A D G B E
Daniel Caesar,Best Part,"2,144","2,666,928",Chords,novice, D,No Capo, E A D G B E
Queen,Crazy Little Thing Called Love,866,"2,664,383",Chords,intermediate, D,No Capo, E A D G B E
Billie Eilish,Ocean Eyes,"6,117","2,640,636",Chords,novice, Em,No Capo, E A D G B E
A Day to Remember,If It Means A Lot To You,732,"2,639,398",Chords,intermediate,Db,No Capo, D G C F A 
Snow Patrol,Chasing Cars,"1,099","2,638,090",Tab,intermediate,Db,No Capo, E A D G B 
Taylor Swift,Fifteen,892,"2,637,195",Chords,intermediate,Db,No Capo,E A D G B E
Nirvana,The Man Who Sold The World,"1,692","2,637,081",Chords,intermediate, C#m,No Capo, Eb Ab Db Gb Bb Eb
Johnny Cash,Folsom Prison Blues ,"4,417","2,635,284",Chords,novice, E, 1st fret, E A D G B E
Demi Lovato,Let It Go,"1,182","2,632,316",Chords,novice,Db,No Capo, E A D G B 
Jason Mraz,I Wont Give Up ,"2,350","2,627,044",Chords,intermediate,Db, 2nd fre, E A D G B E
Scorpions,Wind Of Change ,"1,601","2,625,793",Chords,intermediate, C,No Capo, E A D G B E
Alicia Keys,If I Aint Got You ,"2,473","2,624,817",Chords,novice, C,No Capo, E A D G B E
System of a Down,Chop Suey ,756,"2,622,927",Tab,intermediate,Db,No Capo, C G C F A 
Hozier,Take Me To Church ,"2,054","2,620,639",Chords,intermediate,Db,No Capo,E A D G B E
Ruth B.,Lost Boy Acoustic,689,"2,619,633",Chords,novice, Em,No Capo, E A D G B E
Foo Fighters,Times Like These Acoustic,"2,709","2,611,927",Chords,intermediate, Em,No Capo, E A D G B E
The Animals,House Of The Rising Sun ,"6,970","2,609,124",Chords,novice, Am,No Capo, E A D G B E
Christina Perri,A Thousand Years ,"1,217","2,607,230",Chords,intermediate, G, 3rd fret, E A D G B E
Coldplay,The Scientist,"2,452","2,606,902",Chords,intermediate, Dm, 3rd fret, E A D G B E
Mumford & Sons,The Cave,"2,184","2,602,580",Chords,intermediate,Db, 4th fre, E A D G B E
Gnarls Barkley,Crazy ,"3,970","2,602,293",Chords,novice, Cm, 3rd fret, E A D G B E
Fiersa Besari,Celengan Rindu,164,"2,578,588",Chords,intermediate, C,No Capo, E A D G B E
Moonstar88,Torete,322,"2,578,628",Chords,intermediate, D,No Capo, E A D G B E
Kings of Leon,Sex On Fire,755,"2,577,859",Chords,novice,Db,No Capo, E A D G B 
Otis Redding,Sittin On The Dock Of The Bay ,"3,774","2,573,526",Chords,novice, G,No Capo, E A D G B E
Coldplay,Paradise ,682,"2,571,641",Chords,intermediate, Bb,No Capo, E A D G B E
Misc Soundtrack,The Greatest Showman - A Million Dreams ,"3,993","2,558,097",Chords,intermediate, G,No Capo, E A D G B E
Katy Perry,Firework,"1,421","2,548,005",Chords,novice, Ab, 1st fret, E A D G B E
Tracy Chapman,Fast Car ,"1,393","2,537,145",Tab,intermediate, Em, 2nd fret, E A D G B E
Shania Twain,Youre Still The One,"1,400","2,534,294",Chords,novice, Eb, 1st fret, E A D G B E
Payung Teduh,Akad,586,"2,530,044",Chords,novice, Em, 2nd fret, E A D G B E
Travie McCoy,Billionaire,129,"2,517,096",Chords,intermediate, A,No Capo, E A D G B E
Ludwig van Beethoven,Für Elise ,"1,260","2,515,338",Tab,intermediate, Am,No Capo, E A D G B E
John Mayer,Gravity,"1,478","2,514,323",Chords,intermediate, C,No Capo, E A D G B E
Pink Floyd,Comfortably Numb,"3,710","2,513,978",Chords,novice, Bm,No Capo, E A D G B E
Guns N' Roses,Dont Cry,479,"2,513,720",Tab,intermediate, F,No Capo, E A D G B E
3 Doors Down,Kryptonite ,847,"2,509,944",Tab,intermediate,Db,No Capo, E A D G B 
Mumford & Sons,The Cave,582,"2,509,470",Tab,intermediate,Db,No Capo, E A D G B 
Rise Against,Hero Of War ,"2,263","2,507,343",Chords,intermediate,Db,No Capo,E A D G B E
Eric Clapton,Layla Acoustic Live ,824,"2,499,679",Tab,intermediate,Db,No Capo,E A D G B E
The Rolling Stones,Wild Horses,"1,087","2,498,864",Chords,intermediate, C,No Capo, E A D G B E
Louis Armstrong,What A Wonderful World ,"1,605","2,498,170",Chords,intermediate, F,No Capo, E A D G B E
Fourtwnty,Zona Nyaman,162,"2,490,109",Chords,intermediate, E,No Capo, E A D G B E
System of a Down,Lonely Day,449,"2,486,692",Tab,novice,Db,No Capo, Db Ab Db Gb Bb E
The Beatles,All My Loving,"3,772","2,484,417",Chords,intermediate, Em, 2nd fret, E A D G B E
Radiohead,Creep ,"1,622","2,481,604",Chords,intermediate, C,No Capo, E A D G B E
Jack Johnson,Better Together ,"1,824","2,476,415",Chords,novice, C, 5th fret, E A D G B E
Guns N' Roses,Sweet Child O Mine Intro,455,"2,473,085",Tab,intermediate, D,No Capo, E A D G B E
Third Eye Blind,Jumper,627,"2,468,061",Chords,intermediate,Db,No Capo, E A D G B 
Lorde,Royals,"1,437","2,466,634",Chords,novice,Db,No Capo, E A D G B 
Misc Christmas,Feliz Navidad,"2,082","2,464,790",Chords,novice, G,No Capo, E A D G B E
The Beatles,Here Comes The Sun ,"1,028","2,456,847",Tab,intermediate,Db, 7th fre, E A D G B E
The Beatles,In My Life ,"2,952","2,449,892",Chords,intermediate, A,No Capo, E A D G B E
Aerosmith,Dream On ,"1,140","2,444,726",Tab,intermediate,Db,No Capo, E A D G B 
Edward Sharpe and the Magnetic Zeros,Home,"1,471","2,444,433",Chords,novice, Bm,No Capo, E A D G B E
Celine Dion,My Heart Will Go On,394,"2,431,873",Chords,intermediate,Db,No Capo,E A D G B E
One Direction,Story Of My Life ,801,"2,430,793",Chords,intermediate,Db, 1st fre, E A D G B E
Metallica,Nothing Else Matters Intro,659,"2,429,120",Tab,intermediate, Em,No Capo, E A D G B E
Bruno Mars,Grenade ,741,"2,427,308",Chords,intermediate,Db, 5th fre, E A D G B E
James Morrison,Broken Strings ,"1,417","2,424,504",Chords,novic,Db,No Capo,E A D G B E
Ed Sheeran,The A Team ,"4,821","2,424,157",Chords,novice, A, 2nd fret, E A D G B E
Misc Television,Game Of Thrones Theme,596,"2,423,475",Tab,novice, Cm,No Capo, E A D G B E
Jessie J,Flashlight ,"1,204","2,422,773",Chords,intermediate, C, 5th fret, E A D G B E
Guns N' Roses,Patience,"3,005","2,423,219",Chords,intermediate, C,No Capo, Eb Ab Db Gb Bb Eb
Led Zeppelin,Black Dog ,"1,013","2,420,288",Tab,intermediate, F#m,No Capo, E A D G B E
Sam Smith,Lay Me Down,"1,717","2,419,342",Chords,intermediate, E,No Capo,E A D G B E
P!nk,Fuckin Perfect,922,"2,417,836",Chords,intermediate,Db,No Capo, E A D G B 
Kansas,Dust In The Wind,604,"2,415,431",Chords,intermediate, C,No Capo, E A D G B E
Rey Valera,Kahit Maputi Na Ang Buhok Ko,410,"2,412,964",Chords,intermediate, G,No Capo, E A D G B E
Israel Kamakawiwo'ole,Over The Rainbow,"6,184","2,406,647",Ukulele,novice, C,No Capo, G C E A
Avenged Sevenfold,Dear God,703,"2,402,995",Chords,intermediate, F,No Capo, E A D G B E
Juan Karlos Labajo,Buwan,499,"2,401,920",Chords,intermediate, Am,No Capo, E A D G B E
AC/DC,Highway To Hell,954,"2,401,067",Chords,intermediate, A,No Capo, E A D G B E
Fugees,Killing Me Softly,"2,465","2,401,458",Chords,intermediate, Em,No Capo, E A D G B E
Randy Newman,Youve Got A Friend In Me,"3,005","2,389,623",Chords,intermediate, Eb, 3rd fret, E A D G B E
Neil Diamond,Sweet Caroline,546,"2,386,213",Chords,novice, A, 2nd fret, E A D G B E
5 Seconds Of Summer,Amnesia,"1,444","2,378,477",Chords,novice,Db, 2nd fre, E A D G B E
Amy Winehouse,Valerie ,"2,729","2,361,973",Chords,novice,Db, 3rd fre, E A D G B E
Avril Lavigne,Complicated,981,"2,357,684",Chords,novice, Dm,No Capo, E A D G B E
Miley Cyrus,Wrecking Ball ,213,"2,353,090",Chords,novice,Db, 3rd fre,E A D G B E
Mr. Big,To Be With You,704,"2,343,615",Chords,intermediate, C#m,No Capo, E A D G B E
Black Sabbath,Paranoid,595,"2,339,820",Tab,intermediate,Db,No Capo, E A D G B 
Enrique Iglesias,Hero,342,"2,339,374",Chords,intermediate,Db,No Capo, E A D G B 
Weezer,Say It Aint So ,746,"2,332,938",Tab,intermediate,Db,No Capo, E A D G B 
Sungha Jung,River Flows In You ,801,"2,329,259",Tab,intermediate, F#m, 2nd fret, E A D G B E
Bruno Mars,Versace On The Floor,145,"2,328,170",Chords,novice, G, 2nd fret, E A D G B E
David Crowder*Band,How He Loves,"1,720","2,325,434",Chords,intermediate, C,No Capo, E A D G B E
Misc Christmas,Silent Night ,"4,718","2,323,452",Chords,novice, G,No Capo, E A D G B E
Red Hot Chili Peppers,Under The Bridge ,"2,305","2,322,432",Chords,intermediate,Db,No Capo, E A D G B 
Rihanna,Diamonds,552,"2,319,694",Chords,novice,Db,No Capo, E A D G B 
Damien Rice,The Blowers Daughter,"1,261","2,316,738",Chords,intermediate,Db,No Capo, E A D G B 
The White Stripes,Seven Nation Army,851,"2,312,486",Chords,intermediate,Db,No Capo, E A D G B 
Metallica,Welcome Home Sanitarium,548,"2,311,927",Tab,intermediate,Db,No Capo, E A D G B 
Maroon 5,Sunday Morning ,134,"2,310,252",Chords,intermediate, Dm,No Capo,E A D G B E
Chris Stapleton,Tennessee Whiskey,"3,408","2,308,705",Chords,novice, A,No Capo, E A D G B E
Lynyrd Skynyrd,Simple Man,579,"2,304,537",Tab,intermediate,Db,No Capo, Eb Ab Db Gb Bb E
Hillsong United,Hosanna,465,"2,301,982",Chords,intermediate, E,No Capo, E A D G B E
Jack Johnson,Banana Pancakes,"1,046","2,301,907",Tab,intermediate,Db,No Capo, E A D G B 
Guns N' Roses,November Rain ,"1,358","2,299,585",Chords,intermediate, F,No Capo, Eb Ab Db Gb Bb Eb
Imagine Dragons,Demons ,"5,079","2,299,065",Chords,novice, Eb, 3rd fret, E A D G B E
Fourtwnty,Fana Merah Jambu ,252,"2,296,587",Chords,novice, Em,No Capo, E A D G B E
Bryan Adams,Everything I Do I Do It For You,"1,263","2,295,795",Chords,intermediate, Ebm, 1st fret, E A D G B E
Misc Soundtrack,The Greatest Showman - Never Enough ,"3,543","2,294,640",Chords,novice, Ab, 1st fret, E A D G B E
Billie Eilish,When The Partys Over,"5,570","2,290,050",Chords,novice, A, 4th fret, E A D G B E
Cream,Sunshine Of Your Love ,759,"2,283,904",Tab,intermediate, Dm,No Capo, E A D G B E
Bob Marley,Redemption Song,979,"2,281,523",Chords,novice, G,No Capo, E A D G B E
Guns N' Roses,Sweet Child O Mine Solo,382,"2,280,053",Tab,intermediate, D,No Capo,E A D G B E
Daft Punk,Get Lucky ,307,"2,279,742",Chords,novice,Db,No Capo, E A D G B 
The Beatles,Help,"1,429","2,276,684",Chords,intermediate, A,No Capo, E A D G B E
Plain White T's,Hey There Delilah,"1,026","2,274,656",Chords,novice,Db,No Capo, E A D G B 
Ingrid Michaelson,You And I,"1,161","2,273,153",Chords,novice,Db,No Capo, E A D G B 
Ed Sheeran,Shape Of You,"1,924","2,271,171",Chords,novice, C#m,No Capo, E A D G B E
Bob Dylan,Dont Think Twice Its All Right ,"4,337","2,264,050",Chords,intermediate, C, 4th fret, E A D G B E
Adele,Hello,"1,260","2,262,393",Chords,intermediate, Em, 1st fret, E A D G B E
Demi Lovato,Skyscraper ,190,"2,253,347",Chords,novice,Db,No Capo, E A D G B 
Eric Clapton,Wonderful Tonight ,"3,484","2,251,336",Chords,intermediate, G,No Capo, E A D G B E
Goo Goo Dolls,Iris ,763,"2,250,565",Chords,intermediate, D,No Capo, E A D G B E
Miley Cyrus,The Climb ,650,"2,249,025",Chords,intermediate, D, 2nd fret, E A D G B E
The Chainsmokers,Closer ,251,"2,246,456",Chords,novice, C, 1st fret, E A D G B E
Elvis Presley,Cant Help Falling In Love,356,"2,246,758",Tab,intermediate, G,No Capo, E A D G B E
Ben E. King,Stand By Me ,"3,252","2,245,111",Chords,novice, A, 2nd fret, E A D G B E
Misc Traditional,Happy Birthday,625,"2,241,760",Chords,novice, A,No Capo, E A D G B E
The Beatles,Come Together,"2,483","2,236,355",Chords,novice, Dm,No Capo, E A D G B E
Limp Bizkit,Behind Blue Eyes,"1,094","2,232,307",Chords,intermediate, Em,No Capo, E A D G B E
Taylor Swift,Mean ,"1,073","2,230,017",Chords,novice,Db, 2nd fre,E A D G B E
Bob Dylan,Like A Rolling Stone ,"1,841","2,218,961",Chords,intermediate, C,No Capo, E A D G B E
Oasis,Wonderwall ,784,"2,218,725",Chords,novice, F#m, 2nd fret, E A D G B E
Led Zeppelin,Babe Im Gonna Leave You ,"1,229","2,216,657",Tab,intermediate,Db,No Capo,E A D G B E
Muse,Knights Of Cydonia,929,"2,216,044",Tab,intermediate,Db,No Capo, E A D G B 
Fiersa Besari,Waktu Yang Salah ,41,"2,213,119",Chords,novice, G,No Capo, E A D G B E
Arctic Monkeys,Mardy Bum,"1,727","2,210,879",Chords,novice,Db,No Capo, E A D G B 
Misc Soundtrack,Pirates Of The Caribbean - Hes A Pirate ,457,"2,210,200",Tab,intermediate, Dm,No Capo, E A D G B E
Shawn Mendes,Imagination,"1,122","2,208,837",Chords,intermediate, Am,No Capo, E A D G B E
Plain White T's,Hey There Delilah,383,"2,207,479",Tab,intermediate,Db,No Capo, E A D G B 
AC/DC,Highway To Hell,612,"2,190,805",Tab,intermediate, Ab,No Capo, Eb Ab Db Gb Bb Eb
Tom Petty,Free Fallin,663,"2,190,327",Chords,novice, F, 8th fret, E A D G B E
Queen,Somebody To Love,"1,194","2,188,412",Chords,intermediate, Ab, 1st fret, E A D G B E
Maroon 5,This Love ,"1,407","2,186,950",Chords,intermediate,Db, 3rd fre, E A D G B E
Charlie Puth,We Dont Talk Anymore,"1,129","2,185,037",Chords,novice, E, 4th fret, E A D G B E
Auburn,Perfect Two,338,"2,179,256",Chords,novice,Db,No Capo, E A D G B 
The Script,For The First Time ,"1,033","2,178,658",Chords,novice,Db, 2nd fre, E A D G B E
Green Day,Boulevard Of Broken Dreams Acoustic ,"2,436","2,177,829",Chords,intermediate,Db, 1st fre, E A D G B E
Alessia Cara,How Far Ill Go ,"1,634","2,177,749",Chords,novice, C, 4th fret, E A D G B E
Gotye,Somebody That I Used To Know,776,"2,175,825",Chords,novice, Dm,No Capo, E A D G B E
Cage the Elephant,Cigarette Daydreams,"4,894","2,175,365",Chords,intermediate, D,No Capo, E A D G B E
Ellie Goulding,Love Me Like You Do ,"1,122","2,170,968",Chords,intermediate,Db,No Capo, E A D G B 
Green Day,Wake Me Up When September Ends,717,"2,169,630",Chords,intermediate, G,No Capo, E A D G B E
Coheed and Cambria,Welcome Home,424,"2,168,423",Tab,intermediate,Db,No Capo,E A D G B E
Ed Sheeran,Galway Girl,"2,514","2,164,373",Chords,novice, F#m, 2nd fret, E A D G B E
Marilyn Manson,Sweet Dreams Are Made Of This ,698,"2,157,780",Tab,intermediate,Db,No Capo,E A D G B E
OutKast,Hey Ya,310,"2,148,336",Chords,intermediate,Db,No Capo, E A D G B 
Taylor Swift,White Horse ,"1,050","2,148,254",Chords,intermediate,Db,No Capo, E A D G B 
Green Day,21 Guns ,694,"2,143,296",Chords,intermediate,Db,No Capo, E A D G B 
Crowded House,Dont Dream Its Over,"2,830","2,143,321",Chords,intermediate, Eb, 3rd fret, E A D G B E
Eddie Vedder,Society,"2,506","2,140,891",Chords,novice, Bm,No Capo, E A D G B E
Callalily,Magbalik,178,"2,137,783",Chords,intermediate, E,No Capo, E A D G B E
The Band,The Weight,"1,856","2,137,150",Chords,intermediate, A,No Capo, E A D G B E
Eraserheads,With A Smile,278,"2,137,419",Chords,intermediate, G,No Capo, E A D G B E
Guns N' Roses,Welcome To The Jungle,447,"2,136,712",Tab,intermediate,Db,No Capo, E A D G B 
Maroon 5,Memories,"3,226","2,132,538",Chords,novice, B, 4th fret, E A D G B E
Creedence Clearwater Revival,Proud Mary,"1,387","2,129,852",Chords,intermediate, D,No Capo, E A D G B E
Coldplay,The Scientist ,286,"2,116,867",Chords,intermediate, Am,No Capo, E A D G B E
kahitna,Cantik,167,"2,114,979",Chords,intermediate, A,No Capo, E A D G B E
Avril Lavigne,When Youre Gone ,297,"2,114,149",Chords,intermediate,Db,No Capo, E A D G B 
Edwin McCain,Ill Be,651,"2,113,190",Chords,intermediate,Db,No Capo, E A D G B 
Coldplay,Yellow ,961,"2,106,597",Chords,novice, C,No Capo, E A D G B E
The Beatles,Something ,"2,503","2,103,806",Chords,intermediate, C,No Capo, E A D G B E
3 Doors Down,Here Without You ,248,"2,084,837",Tab,intermediate,Db,No Capo,E A D G B E
Blink-182,I Miss You,969,"2,073,875",Chords,novice, B,No Capo, Eb Ab Db Gb Bb Eb
Keane,Somewhere Only We Know ,503,"2,072,903",Chords,intermediate, B, 2nd fret, E A D G B E
Lady Gaga,Million Reasons,"3,947","2,071,380",Chords,novice, C,No Capo, E A D G B E
James Arthur,Impossible,"1,653","2,067,062",Chords,novice, Em,No Capo, E A D G B E
Guns N' Roses,Knockin On Heavens Door,187,"2,065,934",Tab,intermediate,Db,No Capo, Eb Ab Db Gb Bb E
Kings of Leon,Use Somebody,315,"2,064,927",Tab,intermediate,Db,No Capo,E A D G B E
Arctic Monkeys,Do I Wanna Know,374,"2,062,164",Tab,novice, Gm,No Capo, E A D G B E
Lil Wayne,How To Love,411,"2,061,891",Chords,novice,Db, 4th fre, E A D G B E
Five for Fighting,Superman Its Not Easy,"1,400","2,059,444",Chords,intermediate, C,No Capo, E A D G B E
Johnny Cash,I Walk The Line ,"1,920","2,059,368",Chords,intermediate, F, 1st fret, E A D G B E
Taylor Swift,Speak Now,891,"2,058,772",Chords,novice, G,No Capo, E A D G B E
Misc Traditional,Happy Birthday ,"1,274","2,056,091",Chords,novice, Db,No Capo, E A D G B E
Michael Jackson,Man In The Mirror,541,"2,053,798",Chords,intermediate, G,No Capo, E A D G B E
City and Colour,The Girl,"1,571","2,052,055",Chords,novice,Db, 3rd fre, E A D G B E
Tenacious D,Tribute,"1,219","2,047,930",Chords,novice, Am,No Capo, E A D G B E
Slipknot,Snuff,"1,071","2,039,530",Chords,novice, F#m,No Capo, C# F# B E G# C#
a-ha,Take On Me,"1,096","2,039,620",Chords,novice, Bm,No Capo, E A D G B E
James Arthur,Say You Wont Let Go ,767,"2,029,615",Chords,novice, G, 3rd fret, E A D G B E
The Kooks,Naive ,"1,057","2,026,356",Chords,intermediate,Db, 4th fre, E A D G B E
Tracy Chapman,Fast Car,433,"2,023,252",Chords,intermediate,Db, 2nd fre, E A D G B E
Imagine Dragons,Believer ,"3,542","2,020,078",Chords,novice, Bbm, 1st fret, E A D G B E
Lady Gaga,Paparazzi ,703,"2,012,865",Chords,intermediate, Cm, 1st fret, E A D G B E
Green Day,Wake Me Up When September Ends ,"3,621","2,008,757",Chords,novice, G,No Capo, E A D G B E
Adele,Turning Tables,"1,075","2,003,349",Chords,intermediate,Db, 1st fre,E A D G B E
Israel Kamakawiwo'ole,Over The Rainbow ,"2,655","2,001,804",Chords,novice, G, 5th fret, E A D G B E
Matt Redman,Blessed Be Your Name,"1,574","2,000,840",Chords,intermediate,Db, 4th fre, E A D G B E
Billie Eilish,Lovely,"2,913","1,995,360",Chords,novice, C,No Capo, E A D G B E
Taylor Swift,Wildest Dreams,"2,665","1,993,333",Chords,novice, Db, 1st fret, E A D G B E
Jessie J,Price Tag,506,"1,991,415",Chords,novice, F, 5th fret, E A D G B E
Colbie Caillat,Realize,362,"1,990,835",Chords,intermediate,Db, 6th fre,E A D G B E
Mariah Carey,All I Want For Christmas Is You ,"1,933","1,989,426",Chords,intermediate, G,No Capo, E A D G B E
The Beatles,I Want To Hold Your Hand ,"3,432","1,987,981",Chords,novice, G,No Capo, E A D G B E
Keane,Somewhere Only We Know,"2,171","1,987,963",Chords,intermediate, C,No Capo, E A D G B E
Daniel Powter,Bad Day ,"1,585","1,982,663",Chords,intermediate,Db, 1st fre, E A D G B E
Dewa 19,Kangen ,186,"1,976,988",Chords,novice, D,No Capo, E A D G B E
Slayer,Raining Blood ,582,"1,976,125",Tab,intermediate, D#m,No Capo, Eb Ab Db Gb Bb Eb
Alamid,Your Love,293,"1,963,381",Chords,intermediate, Em,No Capo, E A D G B E
John Mayer,Free Fallin ,477,"1,962,769",Tab,novice, F, 3rd fret, E A D G B E
Pink Floyd,Comfortably Numb,547,"1,957,246",Tab,intermediate, Bm,No Capo, E A D G B E
Jessie J,Price Tag ,726,"1,955,491",Chords,novice, F, 5th fret, E A D G B E
Simon & Garfunkel,The Boxer,"1,523","1,955,104",Chords,intermediate, B,No Capo, Eb Ab Db Gb Bb Eb
Sum 41,Fat Lip ,510,"1,952,535",Tab,intermediate,Db,No Capo,E A D G B E
Taylor Swift,22,506,"1,952,405",Chords,novice,Db,No Capo, E A D G B 
Jason Mraz,Lucky ,300,"1,952,469",Chords,novice, C,No Capo, E A D G B E
Blink-182,All The Small Things ,590,"1,952,108",Tab,intermediate,Db,No Capo, E A D G B 
Bon Jovi,Wanted Dead Or Alive ,"2,376","1,948,827",Chords,novice, D,No Capo, E A D G B E
Bruno Mars,Marry You ,"1,904","1,947,841",Chords,novice,Db, 3rd fre, E A D G B E
Ed Sheeran,All Of The Stars,"2,473","1,947,340",Chords,novice, B, 4th fret, E A D G B E
Johann Pachelbel,Canon In D ,796,"1,947,043",Tab,intermediat,Db,No Capo,E A D G B E
John Mayer,Slow Dancing In A Burning Room ,455,"1,944,763",Tab,intermediate, E,No Capo, E A D G B E
Queen,Dont Stop Me Now ,"1,638","1,944,806",Chords,intermediate, F,No Capo, E A D G B E
Louis Armstrong,What A Wonderful World ,"4,907","1,941,540",Chords,novice, F, 5th fret, E A D G B E
Shawn Mendes,Mercy,"1,800","1,936,419",Chords,novice, Em,No Capo, E A D G B E
Hillsong United,From The Inside Out,497,"1,936,012",Chords,intermediate, C,No Capo, E A D G B E
Hinder,Lips Of An Angel,626,"1,934,435",Chords,novice,Db,No Capo, D A D G B 
Elton John,Can You Feel The Love Tonight ,"2,474","1,930,395",Chords,intermediate, Eb, 3rd fret, E A D G B E
John Mayer,Daughters,544,"1,928,779",Chords,intermediate, Bm,No Capo, E A D G B E
One Direction,You And I,981,"1,921,961",Chords,novice, Gb, 1st fret, E A D G B E
Dire Straits,Sultans Of Swing ,"1,973","1,921,255",Chords,novice, Dm,No Capo, E A D G B E
Radiohead,Fake Plastic Trees,806,"1,920,265",Chords,intermediate, A,No Capo, E A D G B E
Taylor Swift,Love Story ,339,"1,918,992",Chords,novice, D,No Capo, E A D G B E
Lana Del Rey,Video Games,630,"1,916,577",Chords,novice, Em, 2nd fret, E A D G B E
Taylor Swift,Shake It Off,"1,153","1,915,221",Chords,intermediate, G,No Capo, E A D G B E
Simple Plan,Summer Paradise,470,"1,913,888",Chords,novice,Db,No Capo, E A D G B 
R.E.M.,Everybody Hurts,"2,794","1,912,881",Chords,intermediate, Em,No Capo, E A D G B E
Britney Spears,Toxic ,933,"1,906,675",Chords,intermediate, Am, 3rd fret, E A D G B E
The Cure,Friday Im In Love,"2,756","1,905,358",Chords,intermediate,Db,No Capo, E A D G B 
Matisyahu,One Day,"1,033","1,904,850",Chords,intermediate, C,No Capo,E A D G B E
Ronan Keating,When You Say Nothing At All,373,"1,902,425",Chords,intermediate, G,No Capo, E A D G B E
Lil Nas X,Old Town Road,"4,813","1,900,950",Chords,novice, Ab, 4th fret, E A D G B E
